City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tiksi,RU,71.6872,128.8694,-27.69,100,100,0.67,overcast clouds
1,Mataura,NZ,-46.1927,168.8643,62.49,71,9,1.34,clear sky
2,Hilo,US,19.7297,-155.09,78.01,73,0,5.99,clear sky
3,Bambous Virieux,MU,-20.3428,57.7575,80.85,83,75,18.41,moderate rain
4,Hamilton,US,39.1834,-84.5333,48.25,73,75,3.44,moderate rain
5,Ushuaia,AR,-54.8,-68.3,62.26,51,75,17.27,broken clouds
6,Nortelandia,BR,-14.4547,-56.8028,89.76,49,95,3.0,overcast clouds
7,Rikitea,PF,-23.1203,-134.9692,77.63,71,55,3.42,broken clouds
8,Seoul,KR,37.5683,126.9778,24.24,81,0,1.14,clear sky
9,Gushikawa,JP,26.3544,127.8686,60.03,63,100,4.61,overcast clouds
10,Te Anau,NZ,-45.4167,167.7167,60.24,71,43,2.53,scattered clouds
11,Ambon,ID,-3.6954,128.1814,78.24,14,20,3.44,light rain
12,Cherskiy,RU,68.75,161.3,-38.43,97,100,3.13,overcast clouds
13,Nouadhibou,MR,20.931,-17.0347,67.98,68,85,16.11,overcast clouds
14,Kolokani,ML,13.5728,-8.0339,75.61,12,0,8.81,clear sky
15,Punta Arenas,CL,-53.15,-70.9167,69.91,46,0,24.16,clear sky
16,Eichenzell,DE,50.4934,9.6961,31.71,82,40,4.09,scattered clouds
17,Abu Samrah,SY,35.3029,37.1841,50.38,81,3,4.99,clear sky
18,Sonoita,MX,31.85,-112.8333,55.54,35,95,4.32,overcast clouds
19,Bluff,NZ,-46.6,168.3333,58.14,83,33,4.88,scattered clouds
20,Hithadhoo,MV,-0.6,73.0833,81.52,72,11,8.37,few clouds
21,Puerto Ayora,EC,-0.7393,-90.3518,84.16,89,97,5.01,overcast clouds
22,Ahipara,NZ,-35.1667,173.1667,67.64,76,5,8.08,clear sky
23,Kupang,ID,-10.1667,123.5833,79.38,94,75,4.61,broken clouds
24,Salalah,OM,17.0151,54.0924,73.49,73,0,3.44,clear sky
