City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Hilo,US,78.01,clear sky,19.7297,-155.09,Dolphin Bay Hotel
7,Rikitea,PF,77.63,broken clouds,-23.1203,-134.9692,Chez Bianca & Benoit
11,Ambon,ID,78.24,light rain,-3.6954,128.1814,Hotel Hero
14,Kolokani,ML,75.61,clear sky,13.5728,-8.0339,Hôtel kolokani
20,Hithadhoo,MV,81.52,few clouds,-0.6,73.0833,Pebbles Inn
21,Puerto Ayora,EC,84.16,overcast clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
23,Kupang,ID,79.38,broken clouds,-10.1667,123.5833,BIB & LANG GUEST HOUSE
24,Salalah,OM,73.49,clear sky,17.0151,54.0924,Muscat International Hotel
31,Mahebourg,MU,80.89,moderate rain,-20.4081,57.7,Grand Bel Air
32,Coromandel,BR,78.69,few clouds,-18.4733,-47.2003,Hotel Rodoviário
34,Daru,PG,77.25,overcast clouds,-9.0763,143.2092,Kuki
37,Chuy,UY,77.65,few clouds,-33.6971,-53.4616,Alerces
39,Grand Gaube,MU,81.0,moderate rain,-20.0064,57.6608,Coco Villa
41,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
46,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti International Resort
48,Hermanus,ZA,70.81,broken clouds,-34.4187,19.2345,Aloe guest house
59,Hambantota,LK,75.81,broken clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
62,Isangel,VU,75.27,heavy intensity rain,-19.55,169.2667,Tanna Lodge
66,Cape Town,ZA,73.09,scattered clouds,-33.9258,18.4232,Townhouse Hotel
67,Castro,BR,70.68,broken clouds,-24.7911,-50.0119,Hotel Central Palace
68,Kapaa,US,75.18,light rain,22.0752,-159.319,Pono Kai Resort
74,Mount Isa,AU,74.97,clear sky,-20.7333,139.5,Ibis Styles
75,Cabo San Lucas,MX,78.62,few clouds,22.8909,-109.9124,Comfort Rooms
76,Avarua,CK,77.05,moderate rain,-21.2078,-159.775,Paradise Inn
80,Sibolga,ID,74.1,overcast clouds,1.7427,98.7792,Hotel Prima Indah
86,Port Elizabeth,ZA,77.31,light rain,-33.918,25.5701,Waterford Hotel
88,Muisne,EC,79.77,overcast clouds,0.6,-80.0333,Hostal Té de Menta
90,Tabou,CI,80.4,overcast clouds,4.423,-7.3528,hôtel le rochet
95,Caravelas,BR,79.84,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
100,Puerto Madryn,AR,79.05,overcast clouds,-42.7692,-65.0385,Hotel Gran Palace
103,Bredasdorp,ZA,71.42,broken clouds,-34.5322,20.0403,Victoria Hotel
112,Atuona,PF,77.9,light rain,-9.8,-139.0333,Pearl Resort
118,Geraldton,AU,72.01,overcast clouds,-28.7667,114.6,Ocean Centre Hotel
121,Palu,ID,73.78,broken clouds,-0.8917,119.8707,Ujung Pandang Hotel
123,Pisco,PE,75.02,clear sky,-13.7,-76.2167,La Portada
124,Faanui,PF,80.31,light rain,-16.4833,-151.75,Oa Oa Lodge
129,Rantauprapat,ID,70.72,overcast clouds,2.1,99.8333,Hotel Bilah
131,Puerto Baquerizo Moreno,EC,79.79,broken clouds,-0.9,-89.6,Dory's House
135,Destin,US,77.2,broken clouds,30.3935,-86.4958,Destin Inn & Suites
136,Teyateyaneng,LS,71.83,overcast clouds,-29.1472,27.7489,Blue Mountain Inn
147,Maracaju,BR,88.27,broken clouds,-21.6144,-55.1683,Hotel Cachoeira
148,Guanica,PR,83.5,clear sky,17.9716,-66.908,Copamarina Beach Resort
149,Humaita,BR,75.11,overcast clouds,-7.5061,-63.0208,Humaita Quality Hotel
150,Limbang,MY,73.51,overcast clouds,4.75,115.0,Comfort Hotel
155,Necochea,AR,78.6,moderate rain,-38.5473,-58.7368,Cabañas Río Quequén
161,Ambilobe,MG,72.79,heavy intensity rain,-13.2,49.05,Hôtel National
162,Gizo,SB,82.26,light rain,-8.103,156.8419,Gizo Hotel
165,Mar Del Plata,AR,77.83,overcast clouds,-38.0023,-57.5575,Nuevo Ostende
176,Port Hedland,AU,80.65,broken clouds,-20.3167,118.5667,The Esplanade Hotel
183,Kourou,GF,82.45,broken clouds,5.1552,-52.6478,SCI Horizon
189,Barahona,DO,84.02,few clouds,18.2085,-71.1008,Hotel Baramar
191,Matara,LK,74.68,overcast clouds,5.9485,80.5353,Villa Palm Breeze
204,Port-Gentil,GA,80.56,light rain,-0.7193,8.7815,Tara-Mé
207,Morondava,MG,82.15,broken clouds,-20.2833,44.2833,Hotel Sharon Menabe
209,Ewa Beach,US,79.41,few clouds,21.3156,-158.0072,Hampton Inn & Suites Oahu/Kapolei
211,Omboue,GA,78.22,moderate rain,-1.5746,9.2618,Georges Faustin Aurat
215,Hualmay,PE,75.13,broken clouds,-11.0964,-77.6139,Hotel Mi Choacan
219,Kununurra,AU,76.98,overcast clouds,-15.7667,128.7333,Kununurra Country Club Resort
221,Bengkulu,ID,74.41,light rain,-3.8004,102.2655,Dena Hotel
231,Puerto Leguizamo,CO,85.98,overcast clouds,-0.1934,-74.7819,Hotel Girasoles
236,Moerai,PF,78.19,overcast clouds,-22.4333,-151.3333,Manotel Rurutu
240,Antofagasta,CL,70.88,few clouds,-23.65,-70.4,Hotel Colón
241,Namibe,AO,74.66,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
242,Formosa Do Rio Preto,BR,84.02,broken clouds,-11.0483,-45.1931,Pousada Universo - Formosa do Rio Preto BA
249,Acapulco,MX,81.63,broken clouds,16.8634,-99.8901,Hotel del Valle
250,Bodden Town,KY,84.2,few clouds,19.2833,-81.25,Turtle Nest Inn
252,Kavieng,PG,82.24,overcast clouds,-2.5744,150.7967,Kavieng Hotel
253,Mitsamiouli,KM,81.3,light rain,-11.3847,43.2844,Hotel le Paradis
254,Anloga,GH,81.39,scattered clouds,5.7947,0.8973,Hotel de White House
258,Iquitos,PE,87.84,scattered clouds,-3.7481,-73.2472,Marfil del Amazonas
262,Anahuac,MX,77.04,clear sky,27.2333,-100.15,Hotel Anáhuac
267,Barra Do Garcas,BR,88.38,scattered clouds,-15.89,-52.2567,Pousada Portal
268,Katy,US,76.71,overcast clouds,29.7858,-95.8244,Courtyard by Marriott Houston Katy Mills
274,Saint-Philippe,RE,80.19,moderate rain,-21.3585,55.7679,Le Baril
275,Kahului,US,81.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
277,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Page 63 hostel
278,Fougamou,GA,75.34,light rain,-1.2154,10.5838,Auberge
285,Lorengau,PG,80.2,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
291,Ampanihy,MG,75.52,clear sky,-24.7,44.75,Hotel restaurant Angora
293,Sokoni,TZ,80.46,overcast clouds,-6.4333,39.55,La Madrugada Beach Hotel
298,Sambava,MG,76.3,heavy intensity rain,-14.2667,50.1667,Royal Sava Hôtel
304,Alta Floresta,BR,79.18,overcast clouds,-9.8756,-56.0861,Villas Hotel
